fault_class,n_real_train_rows,H2_mean,H2_std,H2_min,H2_max,CH4_mean,CH4_std,CH4_min,CH4_max,C2H6_mean,C2H6_std,C2H6_min,C2H6_max,C2H4_mean,C2H4_std,C2H4_min,C2H4_max,C2H2_mean,C2H2_std,C2H2_min,C2H2_max
D1,341,938.0860410557185,5144.804352631815,1.6,74810.28,160.71146686217008,646.2118317380016,0.0,7139.15,72.61372639296188,204.42288610875295,0.0,2000.0,162.11367038123166,1109.2467065468286,0.0,13587.17,475.1115542521994,2494.8811159359384,0.0,37565.0
D2,323,970.1340253869969,2339.540117635211,0.0001,20000.0,390.3128182662538,1213.186143192636,0.0001,13000.0,102.18910526315788,398.3643113281392,0.0,5643.0,516.0021068111455,1960.6482626987172,0.0,29000.0,1164.1560061919506,5645.9048626254635,0.2,57000.0
Normal,707,16.56691230551627,48.83003529243916,0.0,1023.8,16.88868359264498,15.656338650177778,0.0,225.0,8.398058840169732,31.220135490758985,0.0,615.0,3.674977793493635,17.367951614731226,0.0,200.0,0.3814548797736916,3.329996734094534,0.0,70.0
PD,179,4401.337541899442,13856.257483626308,18.0,92600.0,726.7030055865923,2739.6244420538874,0.0,18342.0,90.18554804469274,317.9914460292383,0.0,2111.0,88.09455642458101,669.9045436807319,0.0,8500.0,186.54549832402236,1377.0409985521696,0.0,16000.0
T1,220,104.82840772727273,220.89630053376544,0.0,2031.0,352.0044545454546,1605.559681311797,3.0,18900.0,154.16900545454544,278.1777643500498,0.0,2798.2,81.21707909090908,205.043149218285,0.0,1606.0,6.340970454545453,34.18904319330654,0.0,343.0
T2,165,587.1862436363637,3671.0028956043257,0.0,40000.0,1108.572206060606,5149.708481250161,0.2,61000.0,569.1524545454546,2785.60005558413,0.0,26300.0,893.6810121212122,3823.6241090616586,0.067,42100.0,33.800153333333334,176.21199242362928,0.0,1560.0
T3,520,318.1334630769231,1422.0319696716792,0.0001,22400.0,855.3912928846154,4436.9609143182,0.0001,64064.0,839.9097884615385,4788.305425909426,0.0,72128.0,1177.8498559615384,6676.107630748538,0.0073,95650.0,36.65604634615385,268.48530763869036,0.0,5188.0
